Date,Location,Classification,Count
08/01/2020,Bronx,Cases,37
08/02/2020,Bronx,Cases,30
08/03/2020,Bronx,Cases,96
08/04/2020,Bronx,Cases,47
08/05/2020,Bronx,Cases,66
08/06/2020,Bronx,Cases,65
08/07/2020,Bronx,Cases,53
08/08/2020,Bronx,Cases,30
08/09/2020,Bronx,Cases,19
08/10/2020,Bronx,Cases,89
08/11/2020,Bronx,Cases,70
08/12/2020,Bronx,Cases,59
08/13/2020,Bronx,Cases,61
08/14/2020,Bronx,Cases,68
08/15/2020,Bronx,Cases,42
08/16/2020,Bronx,Cases,23
08/17/2020,Bronx,Cases,71
08/18/2020,Bronx,Cases,55
08/19/2020,Bronx,Cases,50
08/20/2020,Bronx,Cases,64
08/21/2020,Bronx,Cases,52
08/22/2020,Bronx,Cases,29
08/23/2020,Bronx,Cases,32
08/24/2020,Bronx,Cases,64
08/25/2020,Bronx,Cases,64
08/26/2020,Bronx,Cases,64
08/27/2020,Bronx,Cases,53
08/28/2020,Bronx,Cases,77
08/29/2020,Bronx,Cases,28
08/30/2020,Bronx,Cases,20
08/31/2020,Bronx,Cases,46
09/01/2020,Bronx,Cases,52
09/02/2020,Bronx,Cases,42
09/03/2020,Bronx,Cases,40
09/04/2020,Bronx,Cases,44
09/05/2020,Bronx,Cases,30
09/06/2020,Bronx,Cases,18
09/07/2020,Bronx,Cases,32
09/08/2020,Bronx,Cases,81
09/09/2020,Bronx,Cases,56
09/10/2020,Bronx,Cases,45
09/11/2020,Bronx,Cases,55
09/12/2020,Bronx,Cases,35
09/13/2020,Bronx,Cases,19
09/14/2020,Bronx,Cases,75
09/15/2020,Bronx,Cases,62
09/16/2020,Bronx,Cases,60
09/17/2020,Bronx,Cases,61
09/18/2020,Bronx,Cases,45
09/19/2020,Bronx,Cases,30
09/20/2020,Bronx,Cases,32
09/21/2020,Bronx,Cases,73
09/22/2020,Bronx,Cases,67
09/23/2020,Bronx,Cases,89
09/24/2020,Bronx,Cases,71
09/25/2020,Bronx,Cases,49
09/26/2020,Bronx,Cases,42
09/27/2020,Bronx,Cases,32
09/28/2020,Bronx,Cases,82
09/29/2020,Bronx,Cases,65
09/30/2020,Bronx,Cases,52
10/01/2020,Bronx,Cases,82
10/02/2020,Bronx,Cases,80
10/03/2020,Bronx,Cases,34
10/04/2020,Bronx,Cases,34
10/05/2020,Bronx,Cases,94
10/06/2020,Bronx,Cases,67
10/07/2020,Bronx,Cases,75
10/08/2020,Bronx,Cases,83
10/09/2020,Bronx,Cases,92
10/10/2020,Bronx,Cases,36
10/11/2020,Bronx,Cases,38
10/12/2020,Bronx,Cases,53
10/13/2020,Bronx,Cases,91
10/14/2020,Bronx,Cases,89
10/15/2020,Bronx,Cases,91
10/16/2020,Bronx,Cases,78
10/17/2020,Bronx,Cases,64
10/18/2020,Bronx,Cases,45
10/19/2020,Bronx,Cases,107
10/20/2020,Bronx,Cases,91
10/21/2020,Bronx,Cases,96
10/22/2020,Bronx,Cases,122
10/23/2020,Bronx,Cases,115
10/24/2020,Bronx,Cases,73
10/25/2020,Bronx,Cases,67
10/26/2020,Bronx,Cases,132
10/27/2020,Bronx,Cases,119
10/28/2020,Bronx,Cases,124
10/29/2020,Bronx,Cases,100
10/30/2020,Bronx,Cases,115
10/31/2020,Bronx,Cases,65
11/01/2020,Bronx,Cases,57
11/02/2020,Bronx,Cases,159
11/03/2020,Bronx,Cases,153
11/04/2020,Bronx,Cases,187
11/05/2020,Bronx,Cases,198
11/06/2020,Bronx,Cases,192
11/07/2020,Bronx,Cases,134
11/08/2020,Bronx,Cases,106
11/09/2020,Bronx,Cases,240
11/10/2020,Bronx,Cases,274
11/11/2020,Bronx,Cases,239
11/12/2020,Bronx,Cases,248
11/13/2020,Bronx,Cases,272
11/14/2020,Bronx,Cases,193
11/15/2020,Bronx,Cases,135
11/16/2020,Bronx,Cases,314
11/17/2020,Bronx,Cases,337
11/18/2020,Bronx,Cases,307
11/19/2020,Bronx,Cases,362
11/20/2020,Bronx,Cases,328
11/21/2020,Bronx,Cases,254
11/22/2020,Bronx,Cases,183
11/23/2020,Bronx,Cases,437
11/24/2020,Bronx,Cases,376
11/25/2020,Bronx,Cases,425
11/26/2020,Bronx,Cases,137
11/27/2020,Bronx,Cases,387
11/28/2020,Bronx,Cases,334
11/29/2020,Bronx,Cases,244
11/30/2020,Bronx,Cases,460
12/01/2020,Bronx,Cases,589
12/02/2020,Bronx,Cases,540
12/03/2020,Bronx,Cases,523
12/04/2020,Bronx,Cases,562
12/05/2020,Bronx,Cases,325
12/06/2020,Bronx,Cases,249
12/07/2020,Bronx,Cases,554
12/08/2020,Bronx,Cases,496
12/09/2020,Bronx,Cases,528
12/10/2020,Bronx,Cases,571
12/11/2020,Bronx,Cases,501
12/12/2020,Bronx,Cases,392
12/13/2020,Bronx,Cases,311
12/14/2020,Bronx,Cases,614
12/15/2020,Bronx,Cases,634
12/16/2020,Bronx,Cases,445
12/17/2020,Bronx,Cases,266
12/18/2020,Bronx,Cases,619
12/19/2020,Bronx,Cases,405
12/20/2020,Bronx,Cases,292
12/21/2020,Bronx,Cases,717
12/22/2020,Bronx,Cases,732
12/23/2020,Bronx,Cases,635
12/24/2020,Bronx,Cases,503
12/25/2020,Bronx,Cases,154
12/26/2020,Bronx,Cases,537
12/27/2020,Bronx,Cases,480
12/28/2020,Bronx,Cases,1020
12/29/2020,Bronx,Cases,993
12/30/2020,Bronx,Cases,968
12/31/2020,Bronx,Cases,664
01/01/2021,Bronx,Cases,206
01/02/2021,Bronx,Cases,723
01/03/2021,Bronx,Cases,514
01/04/2021,Bronx,Cases,1257
01/05/2021,Bronx,Cases,1166
01/06/2021,Bronx,Cases,1109
01/07/2021,Bronx,Cases,982
01/08/2021,Bronx,Cases,985
01/09/2021,Bronx,Cases,677
01/10/2021,Bronx,Cases,462
01/11/2021,Bronx,Cases,1143
01/12/2021,Bronx,Cases,999
01/13/2021,Bronx,Cases,1045
01/14/2021,Bronx,Cases,995
01/15/2021,Bronx,Cases,933
01/16/2021,Bronx,Cases,607
01/17/2021,Bronx,Cases,502
01/18/2021,Bronx,Cases,768
01/19/2021,Bronx,Cases,1085
01/20/2021,Bronx,Cases,1038
01/21/2021,Bronx,Cases,962
01/22/2021,Bronx,Cases,1062
01/23/2021,Bronx,Cases,682
01/24/2021,Bronx,Cases,507
01/25/2021,Bronx,Cases,1176
01/26/2021,Bronx,Cases,1005
01/27/2021,Bronx,Cases,991
01/28/2021,Bronx,Cases,967
01/29/2021,Bronx,Cases,733
01/30/2021,Bronx,Cases,557
01/31/2021,Bronx,Cases,547
02/01/2021,Bronx,Cases,169
02/02/2021,Bronx,Cases,434
02/03/2021,Bronx,Cases,1093
02/04/2021,Bronx,Cases,1070
02/05/2021,Bronx,Cases,953
02/06/2021,Bronx,Cases,719
02/07/2021,Bronx,Cases,324
02/08/2021,Bronx,Cases,972
02/09/2021,Bronx,Cases,874
02/10/2021,Bronx,Cases,868
02/11/2021,Bronx,Cases,725
02/12/2021,Bronx,Cases,726
02/13/2021,Bronx,Cases,420
02/14/2021,Bronx,Cases,371
02/15/2021,Bronx,Cases,527
02/16/2021,Bronx,Cases,788
02/17/2021,Bronx,Cases,772
02/18/2021,Bronx,Cases,383
02/19/2021,Bronx,Cases,618
02/20/2021,Bronx,Cases,510
02/21/2021,Bronx,Cases,359
02/22/2021,Bronx,Cases,752
02/23/2021,Bronx,Cases,731
02/24/2021,Bronx,Cases,713
02/25/2021,Bronx,Cases,715
02/26/2021,Bronx,Cases,676
02/27/2021,Bronx,Cases,377
02/28/2021,Bronx,Cases,329
03/01/2021,Bronx,Cases,731
03/02/2021,Bronx,Cases,562
03/03/2021,Bronx,Cases,638
03/04/2021,Bronx,Cases,575
03/05/2021,Bronx,Cases,554
03/06/2021,Bronx,Cases,330
03/07/2021,Bronx,Cases,291
03/08/2021,Bronx,Cases,625
03/09/2021,Bronx,Cases,581
03/10/2021,Bronx,Cases,562
03/11/2021,Bronx,Cases,544
03/12/2021,Bronx,Cases,573
03/13/2021,Bronx,Cases,331
03/14/2021,Bronx,Cases,249
03/15/2021,Bronx,Cases,564
03/16/2021,Bronx,Cases,570
03/17/2021,Bronx,Cases,517
03/18/2021,Bronx,Cases,499
03/19/2021,Bronx,Cases,546
03/20/2021,Bronx,Cases,334
03/21/2021,Bronx,Cases,294
03/22/2021,Bronx,Cases,654
03/23/2021,Bronx,Cases,566
03/24/2021,Bronx,Cases,579
03/25/2021,Bronx,Cases,638
03/26/2021,Bronx,Cases,568
03/27/2021,Bronx,Cases,363
03/28/2021,Bronx,Cases,254
03/29/2021,Bronx,Cases,626
03/30/2021,Bronx,Cases,593
03/31/2021,Bronx,Cases,508
04/01/2021,Bronx,Cases,501
04/02/2021,Bronx,Cases,360
04/03/2021,Bronx,Cases,314
04/04/2021,Bronx,Cases,191
04/05/2021,Bronx,Cases,505
04/06/2021,Bronx,Cases,500
04/07/2021,Bronx,Cases,467
04/08/2021,Bronx,Cases,417
04/09/2021,Bronx,Cases,356
04/10/2021,Bronx,Cases,231
